Timestamp, Temp(C), DO(mg/L), Salinity(PPT), pH, Status
2026-07-23 19:33:21, 25.23, 6.71, 37.22, 7.61, ALERT: Temp Error (25.23°C) | Salinity Error (37.22 PPT)
2026-07-23 19:33:22, 14.19, 7.43, 30.83, 8.89, ALERT: pH Error (8.89)
2026-07-23 19:33:23, 19.73, 5.86, 36.9, 7.65, ALERT: Salinity Error (36.9 PPT)
2026-07-23 19:33:24, 22.46, 6.2, 27.6, 7.13, ALERT: Salinity Error (27.6 PPT) | pH Error (7.13)
2026-07-23 19:33:25, 12.58, 6.1, 32.97, 8.36, ALERT: Temp Error (12.58°C)
2026-07-23 19:33:26, 17.36, 7.83, 26.46, 7.35, ALERT: Salinity Error (26.46 PPT) | pH Error (7.35)
2026-07-23 19:33:27, 24.55, 5.82, 27.79, 7.65, ALERT: Temp Error (24.55°C) | Salinity Error (27.79 PPT)
2026-07-23 19:33:28, 20.71, 4.52, 31.52, 7.99, ALERT: Low Oxygen (4.52 mg/L)
2026-07-23 19:33:29, 22.6, 7.69, 30.23, 8.65, ALERT: pH Error (8.65)
2026-07-23 19:33:30, 24.02, 7.62, 27.28, 7.05, ALERT: Temp Error (24.02°C) | Salinity Error (27.28 PPT) | pH Error (7.05)
2026-07-23 19:33:31, 21.36, 6.12, 34.59, 8.15, System Stable
2026-07-23 19:33:32, 13.27, 5.52, 26.38, 8.94, ALERT: Temp Error (13.27°C) | Salinity Error (26.38 PPT) | pH Error (8.94)
2026-07-23 19:33:33, 21.11, 4.72, 28.75, 7.64, ALERT: Low Oxygen (4.72 mg/L)
2026-07-23 19:33:34, 23.4, 6.9, 37.24, 7.72, ALERT: Salinity Error (37.24 PPT)
2026-07-23 19:33:35, 20.51, 4.04, 32.56, 7.89, ALERT: Low Oxygen (4.04 mg/L)
2026-07-23 19:33:36, 21.44, 8.17, 33.49, 8.63, ALERT: pH Error (8.63)
2026-07-23 19:33:37, 19.49, 7.0, 33.18, 7.78, System Stable
2026-07-23 19:33:38, 23.52, 6.62, 30.68, 7.75, System Stable
2026-07-23 19:33:39, 19.7, 5.36, 28.16, 8.25, System Stable
2026-07-23 19:33:40, 12.26, 4.13, 28.82, 7.41, ALERT: Temp Error (12.26°C) | Low Oxygen (4.13 mg/L) | pH Error (7.41)
2026-07-23 19:33:41, 22.08, 7.26, 33.11, 8.36, System Stable
2026-07-23 19:33:42, 13.99, 6.62, 32.4, 7.01, ALERT: Temp Error (13.99°C) | pH Error (7.01)
2026-07-23 19:33:43, 12.05, 4.67, 32.31, 7.93, ALERT: Temp Error (12.05°C) | Low Oxygen (4.67 mg/L)
2026-07-23 19:33:44, 16.95, 8.15, 28.65, 7.81, System Stable
2026-07-23 19:33:45, 23.06, 6.28, 37.08, 7.85, ALERT: Salinity Error (37.08 PPT)
2026-07-23 19:33:46, 21.38, 6.13, 31.1, 8.74, ALERT: pH Error (8.74)
2026-07-23 19:33:47, 21.83, 6.56, 36.23, 8.19, ALERT: Salinity Error (36.23 PPT)
2026-07-23 19:33:48, 20.09, 5.02, 35.12, 8.32, System Stable
2026-07-23 19:33:49, 15.42, 5.14, 30.96, 7.63, System Stable
2026-07-23 19:33:50, 16.83, 7.9, 29.09, 8.06, System Stable
2026-07-23 19:33:51, 19.38, 7.31, 35.79, 8.3, System Stable
2026-07-23 19:33:52, 24.21, 6.87, 36.14, 7.09, ALERT: Temp Error (24.21°C) | Salinity Error (36.14 PPT) | pH Error (7.09)
2026-07-23 19:33:53, 12.48, 6.82, 31.32, 8.75, ALERT: Temp Error (12.48°C) | pH Error (8.75)
2026-07-23 19:33:54, 13.36, 6.43, 31.93, 8.28, ALERT: Temp Error (13.36°C)
2026-07-23 19:33:55, 13.03, 4.83, 33.82, 7.13, ALERT: Temp Error (13.03°C) | Low Oxygen (4.83 mg/L) | pH Error (7.13)
2026-07-23 19:33:56, 18.31, 6.92, 32.52, 8.88, ALERT: pH Error (8.88)
2026-07-23 19:33:57, 15.58, 7.92, 26.22, 7.27, ALERT: Salinity Error (26.22 PPT) | pH Error (7.27)
2026-07-23 19:33:58, 20.19, 6.29, 30.24, 7.77, System Stable
2026-07-23 19:33:59, 13.28, 7.87, 35.14, 7.85, ALERT: Temp Error (13.28°C)
2026-07-23 19:34:00, 21.26, 5.95, 36.83, 7.96, ALERT: Salinity Error (36.83 PPT)
2026-07-23 19:34:01, 22.55, 7.22, 31.51, 8.98, ALERT: pH Error (8.98)
2026-07-23 19:34:02, 20.69, 6.99, 29.3, 7.9, System Stable
